Month,SilverPrice / LKR
1/1/2019,91317
2/1/2019,90802
3/1/2019,87646
4/1/2019,84565
5/1/2019,83058
6/1/2019,85372
7/1/2019,89250
8/1/2019,98534
9/1/2019,105402
10/1/2019,102878
11/1/2019,99524
12/1/2019,100188
1/1/2020,104818
2/1/2020,104265
3/1/2020,88977
4/1/2020,93125
5/1/2020,98298
6/1/2020,105941
7/1/2020,123250
8/1/2020,160604
9/1/2020,153664
10/1/2020,143480
11/1/2020,143019
12/1/2020,150917
1/1/2021,159650
2/1/2021,170638
3/1/2021,162543
4/1/2021,162998
5/1/2021,174500
6/1/2021,171855
7/1/2021,164653
8/1/2021,153736
9/1/2021,149363
10/1/2021,150904
11/1/2021,156937
12/1/2021,146808
1/1/2022,150786
2/1/2022,153183
3/1/2022,208025
4/1/2022,257132
5/1/2022,252117
6/1/2022,248571
7/1/2022,220655
8/1/2022,229659
9/1/2022,220173
10/1/2022,227750
11/1/2022,248835
12/1/2022,275437
1/1/2023,279304
2/1/2023,256973
3/1/2023,237307
4/1/2023,259529
5/1/2023,241714
6/1/2023,228019
7/1/2023,248104
8/1/2023,242471
9/1/2023,240457
10/1/2023,233610
11/1/2023,248186
12/1/2023,251711
1/1/2024,237001
2/1/2024,227671
3/1/2024,241036
4/1/2024,264577
5/1/2024,284418
6/1/2024,289590
7/1/2024,290857
8/1/2024,275886
9/1/2024,290641
10/1/2024,306383
11/1/2024,291066
12/1/2024,284567
1/1/2025,288838
2/1/2025,306247
3/1/2025,316518
4/1/2025,309265
5/1/2025,313231
